name	fre	time	subg	fs	MIML	ratio	hn	HammingLoss	RankingLoss	OneError	Coverage	Average_Precision	tr_time	te_time
Scenes_2_6x9x15_CSM	200	3881ms	600	9	ELM	0.800000	200	0.728000	0.209167	0.370000	0.910000	0.758183	34.410000	18.830000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	ELM	0.200000	100	0.752000	0.176000	0.344000	0.824000	0.790267	34.740000	4.730000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	ELM	0.200000	150	0.758800	0.167333	0.342000	0.790000	0.796033	34.820000	4.730000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	ELM	0.200000	200	0.751200	0.160667	0.312000	0.762000	0.810200	34.920000	4.730000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	ELM	0.400000	100	0.751200	0.172833	0.330000	0.810000	0.798367	34.550000	9.410000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	ELM	0.400000	150	0.749200	0.165000	0.304000	0.780000	0.811867	35.830000	9.460000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	ELM	0.400000	200	0.750800	0.166500	0.316000	0.786000	0.805367	35.520000	9.620000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	ELM	0.600000	100	0.751600	0.168333	0.334000	0.792000	0.798333	34.870000	14.440000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	ELM	0.600000	150	0.750000	0.169833	0.332000	0.798000	0.797550	35.470000	14.450000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	ELM	0.600000	200	0.751200	0.173667	0.334000	0.812000	0.795850	35.570000	14.500000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	ELM	0.800000	100	0.751600	0.173833	0.336000	0.814000	0.795300	35.610000	19.050000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	ELM	0.800000	150	0.750000	0.166333	0.314000	0.784000	0.806917	35.630000	19.200000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	ELM	0.800000	200	0.749200	0.169333	0.334000	0.796000	0.797600	35.480000	19.340000
