name	fre	time	subg	fs	MIML	ratio	hn	cost	HammingLoss	RankingLoss	OneError	Coverage	Average_Precision	tr_time	te_time
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.600000	NULL	1	0.097550	0.303405	0.507614	9.898477	0.538526	2.820000	1.830000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.600000	NULL	3	0.083425	0.265494	0.360406	9.497462	0.612365	2.800000	1.830000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.600000	NULL	5	0.084308	0.324346	0.370558	10.984772	0.583991	2.830000	1.820000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.600000	NULL	1	0.095785	0.261356	0.502538	9.654822	0.570035	2.830000	1.890000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.600000	NULL	3	0.082542	0.336212	0.375635	10.121827	0.568487	2.850000	1.840000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.600000	NULL	5	0.089605	0.266582	0.426396	9.827411	0.603502	2.860000	1.930000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.800000	NULL	1	0.099757	0.292671	0.538071	10.055838	0.544613	2.960000	2.520000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.800000	NULL	3	0.098212	0.260770	0.568528	8.492386	0.565665	3.400000	2.470000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.800000	NULL	5	0.098433	0.306958	0.558376	10.065990	0.532801	3.000000	2.420000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.800000	NULL	1	0.100640	0.269777	0.573604	9.771574	0.553516	2.950000	2.480000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.800000	NULL	3	0.097109	0.320180	0.522843	9.766497	0.526977	2.970000	2.490000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.800000	NULL	5	0.080777	0.347388	0.345178	10.868020	0.568133	3.200000	2.440000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.800000	NULL	1	0.081880	0.300398	0.365482	10.522843	0.593742	2.980000	2.540000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.800000	NULL	3	0.093798	0.318710	0.512690	10.208122	0.544576	3.060000	2.470000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.800000	NULL	5	0.097550	0.353923	0.553299	10.979695	0.515443	2.960000	2.440000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.200000	NULL	1	0.061134	0.174302	0.238579	7.106599	0.731215	2.650000	0.630000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.200000	NULL	3	0.060472	0.172612	0.263959	7.416244	0.708773	2.620000	0.680000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.200000	NULL	5	0.052306	0.137361	0.187817	6.187817	0.762115	2.650000	0.630000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.200000	NULL	1	0.063121	0.154890	0.263959	6.847716	0.723479	2.640000	0.650000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.200000	NULL	3	0.058265	0.153683	0.253807	6.776650	0.738205	2.650000	0.630000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.200000	NULL	5	0.060472	0.143846	0.238579	6.253807	0.733765	2.690000	0.640000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.200000	NULL	1	0.061134	0.157448	0.233503	6.857868	0.724443	2.670000	0.660000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.200000	NULL	3	0.058927	0.161513	0.223350	7.177665	0.723522	2.660000	0.640000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.200000	NULL	5	0.060031	0.156553	0.253807	7.192893	0.721861	2.690000	0.640000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.400000	NULL	1	0.057162	0.200861	0.253807	8.086294	0.716207	2.820000	1.240000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.400000	NULL	3	0.055175	0.166826	0.218274	7.436548	0.729031	2.830000	1.310000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.400000	NULL	5	0.059369	0.176311	0.248731	7.649746	0.722315	2.820000	1.240000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.400000	NULL	1	0.058486	0.167770	0.258883	7.116751	0.733024	2.820000	1.250000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.400000	NULL	3	0.059369	0.176770	0.253807	7.431472	0.732659	2.770000	1.260000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.400000	NULL	5	0.055396	0.172511	0.233503	7.472081	0.732613	2.790000	1.260000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.400000	NULL	1	0.054513	0.154664	0.197970	7.355330	0.754622	2.810000	1.290000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.400000	NULL	3	0.059810	0.176347	0.258883	7.345178	0.721214	2.780000	1.280000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.400000	NULL	5	0.060031	0.172318	0.253807	7.644670	0.729251	2.790000	1.270000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.600000	NULL	1	0.058707	0.198648	0.258883	8.208122	0.715069	2.980000	1.900000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.600000	NULL	3	0.059148	0.175305	0.294416	7.274112	0.707845	3.000000	1.860000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.600000	NULL	5	0.053189	0.169714	0.223350	7.553299	0.735369	3.020000	1.910000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.600000	NULL	1	0.059589	0.150821	0.279188	7.177665	0.725764	2.960000	1.870000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.600000	NULL	3	0.058707	0.181657	0.274112	7.401015	0.707959	2.960000	1.860000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.600000	NULL	5	0.054513	0.181314	0.228426	7.629442	0.727884	2.970000	1.900000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.600000	NULL	1	0.058486	0.193843	0.248731	7.746193	0.722602	2.980000	1.880000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.600000	NULL	3	0.054072	0.183357	0.233503	7.634518	0.735131	2.940000	1.910000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.600000	NULL	5	0.054293	0.140746	0.228426	6.583756	0.737766	2.980000	1.890000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.800000	NULL	1	0.058486	0.169365	0.243655	7.299492	0.729620	3.140000	2.550000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.800000	NULL	3	0.058707	0.205579	0.243655	8.208122	0.714816	3.110000	2.500000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.800000	NULL	5	0.058045	0.149020	0.274112	6.827411	0.733603	3.090000	2.550000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.800000	NULL	1	0.054955	0.157027	0.238579	7.005076	0.742032	3.140000	2.530000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.800000	NULL	3	0.058265	0.171697	0.274112	7.416244	0.718727	3.130000	2.500000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.800000	NULL	5	0.053410	0.186055	0.192893	7.974619	0.737142	3.130000	2.490000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.800000	NULL	1	0.059369	0.154556	0.284264	6.868020	0.722932	3.120000	2.550000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.800000	NULL	3	0.054293	0.166408	0.233503	7.558376	0.728387	3.110000	2.510000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	SVM	0.800000	NULL	5	0.055838	0.178765	0.248731	7.954315	0.722567	3.120000	2.500000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.200000	NULL	1	0.390800	0.393167	0.926000	1.682000	0.460417	36.160000	6.110000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.200000	NULL	3	0.349200	0.446167	0.820000	1.896000	0.451500	36.330000	6.030000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.200000	NULL	5	0.196000	0.355500	0.442000	1.526000	0.672733	36.110000	6.160000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.200000	NULL	1	0.377200	0.390833	0.892000	1.652000	0.474867	37.410000	6.710000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.200000	NULL	3	0.402400	0.552167	0.954000	2.290000	0.360617	36.170000	6.120000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.200000	NULL	5	0.391600	0.589833	0.928000	2.484000	0.358367	37.620000	6.050000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.200000	NULL	1	0.339200	0.301833	0.798000	1.324000	0.549933	35.370000	6.000000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.200000	NULL	3	0.319600	0.554833	0.752000	2.354000	0.445500	35.620000	6.010000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.200000	NULL	5	0.204400	0.324333	0.460000	1.380000	0.672117	35.620000	6.000000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.400000	NULL	1	0.400800	0.440167	0.952000	1.844000	0.434967	38.110000	12.420000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.400000	NULL	3	0.389600	0.450500	0.920000	1.930000	0.442167	38.300000	12.580000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.400000	NULL	5	0.404800	0.762167	0.958000	3.112000	0.311617	38.670000	12.420000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.400000	NULL	1	0.348400	0.702833	0.824000	2.910000	0.383767	38.450000	12.400000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.400000	NULL	3	0.346400	0.438000	0.812000	1.870000	0.456833	38.750000	12.310000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.400000	NULL	5	0.204400	0.237167	0.458000	1.062000	0.715150	38.690000	12.530000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.400000	NULL	1	0.350000	0.580667	0.828000	2.452000	0.402383	38.750000	12.400000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.400000	NULL	3	0.203600	0.338000	0.454000	1.462000	0.669500	38.840000	12.620000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.400000	NULL	5	0.348000	0.477167	0.822000	2.026000	0.437333	38.790000	12.320000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.600000	NULL	1	0.386400	0.426167	0.912000	1.816000	0.448633	42.780000	19.130000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.600000	NULL	3	0.398800	0.785500	0.950000	3.226000	0.299650	42.390000	19.440000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.600000	NULL	5	0.202800	0.261167	0.450000	1.160000	0.708833	42.650000	19.140000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.600000	NULL	1	0.386400	0.779333	0.918000	3.200000	0.307450	42.490000	19.400000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.600000	NULL	3	0.370800	0.778333	0.870000	3.222000	0.327950	43.450000	20.300000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.600000	NULL	5	0.203200	0.325667	0.458000	1.430000	0.673650	42.180000	19.070000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.600000	NULL	1	0.404400	0.423667	0.962000	1.776000	0.440717	42.920000	19.010000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.600000	NULL	3	0.404000	0.464667	0.950000	1.942000	0.429133	42.390000	19.100000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.600000	NULL	5	0.390000	0.615000	0.928000	2.532000	0.352250	42.480000	19.490000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.800000	NULL	1	0.345600	0.578000	0.816000	2.444000	0.409550	47.790000	26.760000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.800000	NULL	3	0.390000	0.543833	0.916000	2.286000	0.371900	46.060000	25.640000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.800000	NULL	5	0.386400	0.718000	0.910000	3.002000	0.318467	46.360000	25.640000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.800000	NULL	1	0.349600	0.367333	0.820000	1.586000	0.512317	46.610000	25.930000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.800000	NULL	3	0.203600	0.334167	0.458000	1.444000	0.665183	46.270000	25.610000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.800000	NULL	5	0.204000	0.297333	0.454000	1.284000	0.686383	46.370000	25.410000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.800000	NULL	1	0.390000	0.438667	0.922000	1.852000	0.446267	46.510000	25.540000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.800000	NULL	3	0.338000	0.701000	0.796000	2.922000	0.388650	46.260000	25.360000
Scenes_2_6x9x15_CSM	200	3881ms	600	9	SVM	0.800000	NULL	5	0.402800	0.565667	0.952000	2.350000	0.359217	46.320000	25.460000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.200000	NULL	1	0.395600	0.409333	0.940000	1.694000	0.465617	35.330000	6.170000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.200000	NULL	3	0.380400	0.629000	0.904000	2.592000	0.354183	35.740000	5.960000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.200000	NULL	5	0.382000	0.661167	0.906000	2.786000	0.340400	35.810000	6.050000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.200000	NULL	1	0.395600	0.651333	0.944000	2.684000	0.327700	35.630000	6.090000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.200000	NULL	3	0.342800	0.328833	0.806000	1.460000	0.537067	35.310000	6.160000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.200000	NULL	5	0.382000	0.684833	0.902000	2.878000	0.335467	35.510000	6.220000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.200000	NULL	1	0.343600	0.699500	0.812000	2.890000	0.393950	35.560000	6.180000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.200000	NULL	3	0.394800	0.742167	0.936000	3.052000	0.323633	34.780000	5.880000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.200000	NULL	5	0.394400	0.510833	0.940000	2.124000	0.380483	34.510000	5.840000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.400000	NULL	1	0.378800	0.708667	0.902000	2.952000	0.320817	36.690000	11.860000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.400000	NULL	3	0.156400	0.293500	0.340000	1.284000	0.740100	36.630000	11.780000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.400000	NULL	5	0.376800	0.444667	0.888000	1.880000	0.424617	36.690000	11.870000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.400000	NULL	1	0.382800	0.620667	0.914000	2.604000	0.356550	36.760000	11.920000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.400000	NULL	3	0.392800	0.660333	0.930000	2.728000	0.337367	36.650000	11.770000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.400000	NULL	5	0.342400	0.746833	0.808000	3.082000	0.374167	36.640000	11.810000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.400000	NULL	1	0.341200	0.587333	0.804000	2.462000	0.408450	36.820000	11.840000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.400000	NULL	3	0.380000	0.372167	0.902000	1.616000	0.486517	36.770000	11.840000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.400000	NULL	5	0.390800	0.802500	0.924000	3.306000	0.306133	36.660000	11.990000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.600000	NULL	1	0.377200	0.408000	0.896000	1.702000	0.478267	38.530000	18.270000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.600000	NULL	3	0.378000	0.635167	0.896000	2.624000	0.357800	39.060000	18.040000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.600000	NULL	5	0.394000	0.387667	0.936000	1.604000	0.466700	39.100000	17.840000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.600000	NULL	1	0.342400	0.299667	0.806000	1.324000	0.555683	38.270000	17.940000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.600000	NULL	3	0.340800	0.430500	0.800000	1.852000	0.459167	38.870000	18.100000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.600000	NULL	5	0.374000	0.685667	0.888000	2.884000	0.334533	38.680000	18.160000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.600000	NULL	1	0.375600	0.613833	0.890000	2.544000	0.354000	38.600000	18.190000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.600000	NULL	3	0.394000	0.482000	0.926000	2.020000	0.396683	38.890000	18.000000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.600000	NULL	5	0.341200	0.284167	0.800000	1.266000	0.558300	39.110000	17.740000
Scenes_2_6x9x15_CSM	300	3239ms	600	5	SVM	0.800000	NULL	1	0.382800	0.539667	0.912000	2.228000	0.375583	41.660000	24.240000
