name	fre	time	subg	fs	MIML	ratio	hn	cost	HammingLoss	RankingLoss	OneError	Coverage	Average_Precision	tr_time	te_time
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.200000	NULL	1	0.097992	0.285037	0.497462	10.401015	0.538846	2.670000	0.630000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.200000	NULL	3	0.106158	0.268137	0.629442	9.218274	0.506935	2.650000	0.720000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.200000	NULL	5	0.107923	0.379592	0.598985	11.192893	0.462438	2.700000	0.620000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.200000	NULL	1	0.108806	0.314789	0.639594	10.416244	0.484262	2.720000	0.680000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.200000	NULL	3	0.108585	0.319328	0.619289	10.253807	0.471426	2.680000	0.750000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.200000	NULL	5	0.102185	0.310676	0.583756	11.131980	0.532616	3.190000	0.800000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.200000	NULL	1	0.104171	0.295718	0.583756	9.796954	0.508557	2.840000	0.760000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.200000	NULL	3	0.109910	0.304489	0.619289	10.289340	0.486491	2.620000	0.690000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.200000	NULL	5	0.096667	0.247530	0.441624	8.248731	0.583948	2.770000	0.600000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.400000	NULL	1	0.084970	0.251892	0.390863	9.604061	0.599675	2.910000	1.260000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.400000	NULL	3	0.081660	0.291769	0.335025	10.015228	0.580238	2.740000	1.280000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.400000	NULL	5	0.099757	0.338946	0.543147	9.908629	0.520553	2.730000	1.210000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.400000	NULL	1	0.100419	0.231828	0.553299	8.989848	0.579790	2.750000	1.260000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.400000	NULL	3	0.091591	0.288160	0.421320	9.730964	0.590349	6.470000	1.340000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.400000	NULL	5	0.098212	0.297355	0.553299	9.928934	0.539877	2.870000	1.260000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.400000	NULL	1	0.101081	0.294204	0.527919	9.715736	0.537612	2.740000	1.370000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.400000	NULL	3	0.102185	0.290301	0.578680	9.730964	0.539288	2.740000	1.230000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.400000	NULL	5	0.088943	0.289425	0.426396	9.243655	0.557696	2.750000	1.170000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.600000	NULL	1	0.096888	0.275140	0.517766	9.969543	0.580764	2.850000	1.910000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.600000	NULL	3	0.095564	0.311719	0.517766	10.411168	0.542812	3.040000	1.890000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	SVM	0.600000	NULL	5	0.083867	0.305523	0.380711	10.411168	0.587371	2.910000	1.830000
